loan_id,P3v3,P4v3,anchor_v3,day_v3,multi_v3,batch_v3
B090709-2,2,2,,,,2
B090803-2,4,1,event,,False,2
B090815-2,1,1,,,,2
B090907-2,1,1,,,,2
B091021-2,1,1,,,,2
B091027-2,1,1,,,,2
B091109-2,1,2,,,,2
B091126-2,1,1,,,,2
B091127-2,1,2,,,,2
B091129-2,1,2,,,,2
B091130-2,4,1,event,,False,2
B091230-2,1,2,,,,2
B091231-2,1,1,,,,2
B100102-2,1,1,,,,2
B100212-2,3,5,,,,2
B100227-2,4,2,income,,False,2
B100302-2,1,1,,,,2
B100405-2,1,1,,,,2
B100412-2,5,2,income,,True,2
B100424-2,1,1,,,,2
B100430-2,5,1,event,,True,2
B100507-2,1,1,,,,2
B100601-2,1,3,,,,2
B100603-2,3,1,,,,2
B100612-2,1,1,,,,2
B100616-2,1,2,,,,2
B100621-2,1,1,,,,2
B100711-2,1,1,,,,2
B100717-2,3,1,,,,2
B100720-2,1,3,,,,2
B100824-2,1,1,,,,2
B100830-2,1,1,,,,2
B100912-2,1,1,,,,2
B101002-2,4,1,income,5.0,False,2
B101010-2,4,1,calendar,,False,2
B101016-2,1,1,,,,2
B101027-2,2,2,,,,2
B101107-2,3,4,,,,2
B101111-2,1,1,,,,2
B101121-2,1,3,,,,2
B101218-2,1,1,,,,2
B101220-2,4,1,income,2.0,False,2
B081203-3,1,1,,,,2
B081229-3,1,1,,,,2
B081230-3,3,1,,,,2
B090102-3,1,2,,,,2
B090106-3,1,2,,,,2
B090117-3,1,2,,,,2
B090121-3,1,1,,,,2
B090123-3,1,1,,,,2
B090203-3,1,1,,,,2
B090205-3,1,1,,,,2
B090306-3,1,1,,,,2
B090309-3,2,2,,,,2
B090312-3,1,1,,,,2
B090407-3,1,2,,,,3
B090408-3,3,1,,,,3
B090416-3,2,1,,,,3
B090427-3,1,1,,,,3
B090428-3,1,1,,,,3
B090504-3,1,2,,,,3
B090515-3,1,1,,,,3
B090608-3,1,1,,,,3
B090614-3,4,2,income,25.0,False,3
B090720-3,1,3,,,,3
B090725-3,1,2,,,,3
B090805-3,1,1,,,,3
B090811-3,2,1,,,,3
B090815-3,1,1,,,,3
B090925-3,1,1,,,,3
B090926-3,1,1,,,,3
B091028-3,1,5,,,,3
B091104-3,1,1,,,,3
B091107-3,1,1,,,,3
B091220-3,1,2,,,,3
B100105-3,1,1,,,,3
B100121-3,2,1,,,,3
B100122-3,1,1,,,,3
B100305-3,1,1,,,,3
B100311-3,2,1,,,,3
B100317-3,3,4,,,,3
B100322-3,1,1,,,,3
B100507-3,1,1,,,,3
B100512-3,1,1,,,,3
B100518-3,1,1,,,,3
B100524-3,1,1,,,,3
B100528-3,1,4,,,,3
B100617-3,1,4,,,,3
B100701-3,1,2,,,,3
B100908-3,1,2,,,,3
B100913-3,4,1,calendar,10.0,False,3
B100919-3,2,1,,,,3
B100922-3,4,1,income,5.0,False,3
B100930-3,2,1,,,,3
B101006-3,1,1,,,,3
B101008-3,1,1,,,,3
B101025-3,1,1,,,,3
B101109-3,1,3,,,,3
B101125-3,1,1,,,,3
B101130-3,3,2,,,,3
B101201-3,1,2,,,,3
B101203-3,1,1,,,,3
B101211-3,1,1,,,,3
B081209-4,3,1,,,,3
B081223-4,1,2,,,,3
B090114-4,1,1,,,,3
B090121-4,1,1,,,,3
B090223-4,1,1,,,,3
B090309-4,1,1,,,,3
B090416-4,1,1,,,,3
B090504-4,1,1,,,,3
B090508-4,1,1,,,,3
B090526-4,1,1,,,,3
B090606-4,1,1,,,,3
B090618-4,1,1,,,,3
B090623-4,1,1,,,,3
B090801-4,2,1,,,,3
B090807-4,1,4,,,,3
B090930-4,1,1,,,,3
B091022-4,1,1,,,,3
B091024-4,2,1,,,,3
B091113-4,1,1,,,,3
B091115-4,1,1,,,,3
B091122-4,1,1,,,,3
B091218-4,1,2,,,,3
B091231-4,1,1,,,,4
B100117-4,1,1,,,,4
B100206-4,1,1,,,,4
B100211-4,2,1,,,,4
B100217-4,1,1,,,,4
B100221-4,4,1,income,,False,4
B100223-4,1,1,,,,4
B100303-4,1,1,,,,4
B100315-4,1,1,,,,4
B100323-4,1,1,,,,4
B100402-4,1,4,,,,4
B100406-4,1,1,,,,4
B100415-4,1,1,,,,4
B100416-4,4,1,calendar,,False,4
B100504-4,1,1,,,,4
B100515-4,2,1,,,,4
B100602-4,3,1,,,,4
B100618-4,1,1,,,,4
B100714-4,1,1,,,,4
B100827-4,4,1,income,,False,4
B101101-4,1,1,,,,4
B101105-4,1,1,,,,4
B101114-4,1,1,,,,4
B101115-4,1,1,,,,4
B101116-4,1,1,,,,4
B101203-4,1,1,,,,4
B101205-4,1,1,,,,4
B101209-4,1,1,,,,4
B101216-4,1,1,,,,4
B081208-5,1,1,,,,4
B090117-5,1,1,,,,4
B090118-5,1,1,,,,4
B090129-5,1,1,,,,4
B090203-5,1,1,,,,4
B090218-5,1,1,,,,4
B090317-5,1,3,,,,4
B090318-5,1,1,,,,4
B090409-5,1,1,,,,4
B090414-5,1,3,,,,4
B090415-5,1,1,,,,4
B090424-5,1,1,,,,4
B090508-5,1,1,,,,4
B090614-5,1,1,,,,4
B090622-5,1,1,,,,4
B090702-5,1,1,,,,4
B090708-5,4,1,event,1.0,False,4
B090810-5,2,1,,,,4
B090902-5,1,1,,,,4
B090911-5,1,1,,,,4
B090917-5,1,1,,,,4
B090923-5,3,1,,,,4
B090930-5,1,1,,,,4
B091019-5,3,1,,,,4
B091022-5,1,1,,,,4
B091031-5,1,1,,,,4
B091114-5,3,1,,,,4
B091204-5,1,1,,,,4
B091207-5,1,1,,,,4
B091222-5,1,1,,,,4
B091225-5,2,1,,,,4
B100107-5,1,1,,,,4
B100115-5,2,1,,,,4
B100123-5,1,1,,,,4
B100304-5,1,1,,,,4
B100410-5,1,4,,,,4
B100512-5,3,1,,,,4
B100604-5,1,1,,,,4
B100607-5,1,1,,,,4
B100703-5,1,1,,,,4
B100902-5,1,1,,,,4
B100904-5,1,1,,,,5
B100908-5,1,1,,,,5
B100918-5,1,1,,,,5
B100930-5,1,1,,,,5
B101003-5,1,2,,,,5
B101006-5,1,1,,,,5
B101011-5,1,1,,,,5
B101024-5,1,1,,,,5
B101029-5,1,1,,,,5
B101031-5,3,1,,,,5
B101129-5,2,2,,,,5
B101204-5,1,2,,,,5
B101211-5,3,1,,,,5
B101212-5,1,1,,,,5
B101215-5,1,1,,,,5
B101220-5,4,1,income,,False,5
B081212-6,3,1,,,,5
B081231-6,4,1,income,10.0,False,5
B090106-6,1,2,,,,5
B090117-6,1,2,,,,5
B090121-6,3,1,,,,5
B090222-6,1,1,,,,5
B090225-6,1,2,,,,5
B090313-6,2,1,,,,5
B090317-6,1,1,,,,5
B090402-6,1,3,,,,5
B090406-6,1,2,,,,5
B090427-6,1,1,,,,5
B090428-6,2,1,,,,5
B090429-6,1,2,,,,5
B090511-6,3,1,,,,5
B090609-6,4,1,income,6.0,False,5
B090615-6,1,2,,,,5
B090707-6,1,1,,,,5
B090709-6,3,1,,,,5
B090723-6,1,2,,,,5
B090725-6,1,1,,,,5
B090914-6,1,1,,,,5
B090921-6,4,1,income,,False,5
B091007-6,4,1,income,25.0,False,5
B091008-6,1,5,,,,5
B091027-6,2,1,,,,5
B091101-6,1,1,,,,5
B091112-6,1,1,,,,5
B091117-6,1,1,,,,5
B091122-6,3,2,,,,5
B091125-6,1,2,,,,5
B091126-6,1,1,,,,5
B091214-6,1,1,,,,5
B100126-6,2,3,,,,5
B100204-6,3,1,,,,5
B100210-6,3,1,,,,5
B100218-6,1,1,,,,5
B100221-6,1,2,,,,5
B100222-6,3,1,,,,5
B100302-6,2,2,,,,5
B100310-6,3,1,,,,5
B100315-6,1,1,,,,5
B100417-6,1,2,,,,5
B100428-6,1,1,,,,5
B100510-6,1,1,,,,5
B100517-6,1,1,,,,5
B100525-6,4,1,income,,False,5
B100611-6,1,1,,,,5
B100713-6,1,1,,,,5
B100903-6,2,1,,,,5
B100908-6,1,1,,,,5
B100924-6,1,1,,,,5
B101004-6,1,2,,,,5
B101014-6,3,1,,,,5
B101018-6,1,1,,,,6
B101105-6,1,2,,,,6
B101109-6,1,1,,,,6
B101116-6,2,2,,,,6
B081205-7,3,3,,,,6
B090128-7,3,1,,,,6
B090218-7,1,1,,,,6
B090220-7,1,1,,,,6
B090319-7,1,1,,,,6
B090331-7,1,1,,,,6
B090415-7,1,2,,,,6
B090416-7,1,1,,,,6
B090422-7,4,1,income,,False,6
B090424-7,1,1,,,,6
B090528-7,1,1,,,,6
B090628-7,5,2,calendar,,True,6
B090719-7,1,1,,,,6
B090727-7,3,2,,,,6
B090801-7,4,1,income,,False,6
B090817-7,1,1,,,,6
B090922-7,1,2,,,,6
B090929-7,1,1,,,,6
B091005-7,5,4,income,10.0,True,6
B091006-7,1,1,,,,6
B091012-7,4,1,calendar,,False,6
B091014-7,3,1,,,,6
B091110-7,1,1,,,,6
B091115-7,5,2,income,11.0,True,6
B091126-7,1,1,,,,6
B091210-7,1,4,,,,6
B091229-7,1,1,,,,6
B091231-7,2,1,,,,6
B100112-7,1,1,,,,6
B100113-7,1,4,,,,6
B100222-7,2,1,,,,6
B100225-7,1,1,,,,6
B100303-7,4,1,calendar,5.0,False,6
B100311-7,1,1,,,,6
B100330-7,1,1,,,,6
B100331-7,3,1,,,,6
B100408-7,2,2,,,,6
B100414-7,1,2,,,,6
B100416-7,1,1,,,,6
B100603-7,1,2,,,,6
B100604-7,1,1,,,,6
B100727-7,1,2,,,,6
B100808-7,1,1,,,,6
B100812-7,2,2,,,,6
B100930-7,1,1,,,,6
B101012-7,1,1,,,,6
B101014-7,1,1,,,,6
B101027-7,1,4,,,,6
B101028-7,1,1,,,,6
B101221-7,1,1,,,,6
B081201-8,1,1,,,,6
B081226-8,1,1,,,,6
B081229-8,1,1,,,,6
B081230-8,1,2,,,,6
B090119-8,4,1,income,20.0,False,6
B090122-8,1,1,,,,6
B090203-8,1,1,,,,6
B090211-8,4,2,calendar,3.0,False,6
B090213-8,1,1,,,,6
B090407-8,1,1,,,,6
B090508-8,1,1,,,,6
B090514-8,1,1,,,,6
B090528-8,2,2,,,,6
B090622-8,5,1,income,25.0,True,6
B090626-8,1,1,,,,6
B090819-8,1,1,,,,6
B090910-8,1,1,,,,7
B091023-8,5,1,income,,True,7
B091118-8,1,1,,,,7
B091124-8,1,1,,,,7
B091228-8,1,3,,,,7
B100108-8,1,1,,,,7
B100115-8,1,2,,,,7
B100209-8,1,2,,,,7
B100309-8,1,1,,,,7
B100312-8,1,1,,,,7
B100403-8,1,1,,,,7
B100422-8,1,1,,,,7
B100426-8,1,1,,,,7
B100505-8,1,1,,,,7
B100614-8,2,1,,,,7
B100717-8,1,1,,,,7
B100722-8,1,1,,,,7
B100908-8,4,2,income,18.0,False,7
B101001-8,1,3,,,,7
B101014-8,1,1,,,,7
B101015-8,3,1,,,,7
B101101-8,3,1,,,,7
B101125-8,1,1,,,,7
B101216-8,1,1,,,,7
B101221-8,1,1,,,,7
B101223-8,1,1,,,,7
B081201-9,1,1,,,,7
B081215-9,1,1,,,,7
B090129-9,1,1,,,,7
B090204-9,1,1,,,,7
B090217-9,1,1,,,,7
B090313-9,1,2,,,,7
B090327-9,1,1,,,,7
B090410-9,1,4,,,,7
B090601-9,1,1,,,,7
B090626-9,1,1,,,,7
B090629-9,1,1,,,,7
B090630-9,1,2,,,,7
B091027-9,1,1,,,,7
B091029-9,1,1,,,,7
B091120-9,1,4,,,,7
B100107-9,1,4,,,,7
B100118-9,1,1,,,,7
B100119-9,1,2,,,,7
B100121-9,1,1,,,,7
B100127-9,1,1,,,,7
B100202-9,1,2,,,,7
B100222-9,1,1,,,,7
B100308-9,5,1,income,25.0,True,7
B100310-9,1,1,,,,7
B100317-9,1,1,,,,7
B100410-9,1,1,,,,7
B100416-9,4,1,event,,False,7
B100420-9,1,2,,,,7
B100517-9,1,1,,,,7
B100628-9,1,1,,,,7
B101012-9,1,1,,,,7
B101117-9,1,4,,,,7
B101118-9,1,1,,,,7
B101125-9,1,1,,,,7
B090112-10,1,2,,,,7
B090129-10,1,1,,,,7
B090518-10,1,1,,,,7
B090528-10,1,1,,,,7
B090731-10,1,5,,,,7
B090805-10,1,1,,,,7
B090819-10,1,1,,,,7
B090908-10,1,1,,,,7
B090915-10,1,1,,,,7
B090922-10,1,1,,,,7
B090924-10,4,1,calendar,25.0,False,8
B091006-10,1,2,,,,8
B091007-10,1,1,,,,8
B091013-10,1,1,,,,8
B091015-10,1,1,,,,8
B091016-10,3,3,,,,8
B091214-10,1,1,,,,8
B091229-10,3,1,,,,8
B091230-10,1,1,,,,8
B100107-10,1,1,,,,8
B100120-10,1,2,,,,8
B100126-10,1,1,,,,8
B100201-10,1,2,,,,8
B100211-10,5,1,income,,True,8
B100303-10,1,1,,,,8
B100330-10,1,4,,,,8
B100423-10,4,1,income,,False,8
B100429-10,1,4,,,,8
B100506-10,1,1,,,,8
B100512-10,1,4,,,,8
B100524-10,1,1,,,,8
B100531-10,1,2,,,,8
B100624-10,3,1,,,,8
B100717-10,1,1,,,,8
B100727-10,1,2,,,,8
B100820-10,1,2,,,,8
B100906-10,4,2,income,25.0,False,8
B100924-10,4,1,income,,False,8
B101006-10,1,1,,,,8
B101215-10,1,3,,,,8
B101227-10,1,5,,,,8
B090122-11,1,2,,,,8
B090129-11,1,1,,,,8
B090216-11,1,1,,,,8
B090406-11,1,1,,,,8
B090618-11,1,1,,,,8
B090629-11,1,1,,,,8
B090701-11,1,4,,,,8
B090713-11,1,1,,,,8
B090820-11,4,2,income,8.0,False,8
B091104-11,2,1,,,,8
B091210-11,1,1,,,,8
B100204-11,1,3,,,,8
B100225-11,1,2,,,,8
B100317-11,4,1,income,10.0,False,8
B100319-11,1,2,,,,8
B100324-11,1,2,,,,8
B100331-11,1,1,,,,8
B100413-11,1,2,,,,8
B100419-11,1,2,,,,8
B100513-11,4,1,income,10.0,False,8
B100526-11,1,2,,,,8
B100607-11,3,1,,,,8
B100610-11,1,1,,,,8
B100616-11,1,1,,,,8
B100708-11,1,1,,,,8
B100709-11,1,1,,,,8
B100727-11,1,1,,,,8
B100906-11,1,3,,,,8
B101123-11,1,1,,,,8
B101202-11,1,1,,,,8
B090123-12,1,1,,,,8
B090220-12,3,5,,,,8
B090428-12,1,1,,,,8
B090715-12,3,1,,,,8
B090722-12,1,1,,,,8
B090729-12,4,1,income,21.0,False,8
B090804-12,4,1,income,,False,8
B090806-12,1,1,,,,8
B090826-12,1,1,,,,8
B090827-12,1,1,,,,9
B091028-12,1,1,,,,9
B091029-12,1,2,,,,9
B091126-12,1,1,,,,9
B091201-12,3,1,,,,9
B091209-12,3,1,,,,9
B091221-12,1,1,,,,9
B100126-12,1,1,,,,9
B100316-12,1,1,,,,9
B100504-12,1,1,,,,9
B100506-12,1,1,,,,9
B100510-12,3,4,,,,9
B100709-12,3,1,,,,9
B100714-12,1,1,,,,9
B100805-12,1,1,,,,9
B100907-12,1,1,,,,9
B101013-12,1,1,,,,9
B101116-12,2,1,,,,9
B101210-12,2,1,,,,9
B090413-13,1,1,,,,9
B090803-13,1,1,,,,9
B090824-13,1,1,,,,9
B090911-13,1,1,,,,9
B090914-13,1,1,,,,9
B090918-13,1,2,,,,9
B091020-13,3,1,,,,9
B091028-13,1,1,,,,9
B091113-13,1,1,,,,9
B091125-13,1,1,,,,9
B091130-13,1,2,,,,9
B100226-13,1,1,,,,9
B100309-13,1,3,,,,9
B100324-13,1,1,,,,9
B100401-13,4,1,income,25.0,False,9
B100416-13,1,2,,,,9
B100607-13,1,1,,,,9
B100618-13,1,1,,,,9
B100621-13,1,1,,,,9
B100720-13,1,1,,,,9
B100907-13,5,1,income,,True,9
B101118-13,1,2,,,,9
B101201-13,5,1,income,31.0,True,9
B101213-13,2,1,,,,9
B090226-14,1,1,,,,9
B090713-14,1,1,,,,9
B090730-14,1,1,,,,9
B090804-14,1,1,,,,9
B090930-14,3,1,,,,9
B091028-14,2,2,,,,9
B091118-14,1,2,,,,9
B091125-14,1,2,,,,9
B100115-14,1,1,,,,9
B100126-14,5,1,calendar,,True,9
B100127-14,1,1,,,,9
B100201-14,1,2,,,,9
B100210-14,1,2,,,,9
B100217-14,2,1,,,,9
B100224-14,4,3,income,5.0,False,9
B100316-14,1,1,,,,9
B100505-14,1,1,,,,9
B100715-14,5,2,event,,True,9
B101011-14,4,2,calendar,,False,9
B101021-14,1,1,,,,9
B101104-14,2,4,,,,9
B090114-15,1,2,,,,9
B090203-15,1,1,,,,9
B090210-15,1,1,,,,9
B090806-15,1,1,,,,9
B090903-15,1,1,,,,9
B091028-15,1,1,,,,9
B091106-15,1,1,,,,10
B091116-15,3,1,,,,10
B091118-15,1,1,,,,10
B091123-15,1,1,,,,10
B100111-15,1,1,,,,10
B100126-15,3,1,,,,10
B100201-15,3,5,,,,10
B100202-15,3,3,,,,10
B100217-15,1,2,,,,10
B100222-15,4,1,income,5.0,False,10
B100311-15,1,1,,,,10
B100315-15,1,1,,,,10
B100329-15,1,1,,,,10
B100419-15,1,1,,,,10
B100519-15,1,1,,,,10
B100707-15,3,4,,,,10
B100831-15,1,1,,,,10
B100924-15,1,1,,,,10
B101011-15,1,1,,,,10
B101012-15,1,1,,,,10
B101013-15,4,1,income,26.0,False,10
B101021-15,1,1,,,,10
B101227-15,1,1,,,,10
B090128-16,1,1,,,,10
B090625-16,1,1,,,,10
B090818-16,1,3,,,,10
B090924-16,1,1,,,,10
B091103-16,1,1,,,,10
B091105-16,1,2,,,,10
B091106-16,1,1,,,,10
B091229-16,1,2,,,,10
B100108-16,1,1,,,,10
B100211-16,1,2,,,,10
B100528-16,1,1,,,,10
B100531-16,1,1,,,,10
B100630-16,1,3,,,,10
B100715-16,5,4,calendar,,True,10
B100819-16,1,1,,,,10
B100918-16,3,1,,,,10
B100924-16,1,3,,,,10
B101011-16,1,3,,,,10
B101103-16,1,1,,,,10
B101208-16,1,1,,,,10
B090128-17,1,1,,,,10
B090625-17,1,2,,,,10
B091202-17,1,1,,,,10
B091208-17,1,1,,,,10
B100104-17,1,1,,,,10
B100210-17,5,1,calendar,,True,10
B100329-17,1,1,,,,10
B100401-17,1,1,,,,10
B100505-17,1,1,,,,10
B100617-17,1,1,,,,10
B100622-17,1,1,,,,10
B100827-17,4,1,calendar,,False,10
B100831-17,1,1,,,,10
B100909-17,1,1,,,,10
B101012-17,1,1,,,,10
B101021-17,1,1,,,,10
B101027-17,1,1,,,,10
B090119-18,1,2,,,,10
B090121-18,1,1,,,,10
B090211-18,1,1,,,,10
B090907-18,3,1,,,,10
B091117-18,3,1,,,,10
B091223-18,4,1,income,25.0,False,10
B100118-18,1,1,,,,10
B100219-18,1,2,,,,10
B100222-18,1,1,,,,10
B100302-18,1,1,,,,10
B100419-18,1,1,,,,11
B100719-18,1,1,,,,11
B100731-18,1,1,,,,11
B100906-18,1,4,,,,11
B101201-18,1,1,,,,11
B101221-18,1,1,,,,11
B101230-18,1,2,,,,11
B090806-19,4,1,income,20.0,False,11
B090825-19,1,1,,,,11
B090914-19,1,1,,,,11
B100205-19,1,5,,,,11
B100308-19,1,1,,,,11
B100401-19,4,1,calendar,31.0,False,11
B100419-19,1,1,,,,11
B100422-19,1,1,,,,11
B100811-19,1,3,,,,11
B100820-19,4,1,calendar,10.0,False,11
B100924-19,1,1,,,,11
B101201-19,1,2,,,,11
B101227-19,1,1,,,,11
B090210-20,1,1,,,,11
B090814-20,4,2,income,7.0,False,11
B090825-20,1,1,,,,11
B091116-20,1,2,,,,11
B091211-20,1,1,,,,11
B091224-20,1,1,,,,11
B100108-20,1,1,,,,11
B100112-20,1,2,,,,11
B100811-20,1,4,,,,11
B100825-20,4,1,income,6.0,False,11
B100927-20,4,1,calendar,12.0,False,11
B100928-20,1,2,,,,11
B090824-21,3,1,,,,11
B091123-21,3,1,,,,11
B100115-21,1,3,,,,11
B100615-21,1,1,,,,11
B090730-22,1,2,,,,11
B091207-22,1,2,,,,11
B100201-22,1,1,,,,11
B100820-22,3,1,,,,11
B090112-23,1,1,,,,11
B090730-23,1,1,,,,11
B100218-23,1,1,,,,11
B100225-23,1,1,,,,11
B100315-23,1,1,,,,11
B100805-23,1,1,,,,11
B101208-23,3,1,,,,11
B100924-24,1,1,,,,11
B100928-24,1,2,,,,11
B100729-25,1,2,,,,11
B100928-25,1,1,,,,11
B101202-25,3,3,,,,11
B090811-26,1,1,,,,11
B100414-26,1,1,,,,11
B100826-27,4,3,income,26.0,False,11
B091207-28,1,1,,,,11
B100218-30,1,1,,,,11
B100818-30,1,3,,,,11
B100730-32,1,1,,,,11
B100811-32,1,1,,,,11
B100813-32,1,1,,,,11
B100810-33,3,1,,,,11
B100818-35,1,2,,,,11
B100812-36,1,1,,,,11
B100906-37,1,1,,,,11
B100809-40,1,1,,,,11
B100721-41,1,1,,,,11
B100806-42,1,1,,,,11
B100818-48,5,5,calendar,,True,11
B100729-50,1,1,,,,11
B100806-50,1,2,,,,12
B100727-51,1,2,,,,12
B100803-51,1,1,,,,12
B100819-52,1,1,,,,12
B100806-60,2,1,,,,12
B100817-68,1,2,,,,12
B100817-69,1,1,,,,12
B100819-71,2,1,,,,12
B100816-85,1,1,,,,12
B110104-6,1,1,,,,12
B110104-9,4,3,income,25.0,False,12
B110105-13,2,1,,,,12
B110105-4,1,1,,,,12
B110106-4,1,1,,,,12
B110107-2,1,1,,,,12
B110107-9,1,1,,,,12
B110109-2,4,1,event,13.0,False,12
B110110-1,1,1,,,,12
B110111-1,1,3,,,,12
B110111-3,1,1,,,,12
B110111-4,2,1,,,,12
B110112-10,4,1,event,,False,12
B110112-14,3,4,,,,12
B110112-6,1,1,,,,12
B110113-1,2,1,,,,12
B110113-11,1,1,,,,12
B110113-17,1,2,,,,12
B110115-4,2,1,,,,12
B110318-11,1,1,,,,12
B110318-18,3,2,,,,12
B110320-1,1,1,,,,12
B110321-10,1,4,,,,12
B110321-16,1,2,,,,12
B110323-14,1,1,,,,12
B110323-16,1,1,,,,12
B110323-19,1,1,,,,12
B110328-25,1,1,,,,12
B110328-8,1,2,,,,12
B110329-14,1,1,,,,12
B110331-13,1,1,,,,12
B110401-6,1,2,,,,12
B110403-4,1,1,,,,12
B110404-13,1,4,,,,12
B110404-14,1,1,,,,12
B110404-17,1,1,,,,12
B110404-2,5,1,income,15.0,True,12
B110405-5,1,1,,,,12
B110407-10,1,1,,,,12
B110407-13,3,1,,,,12
B110407-19,1,1,,,,12
B110409-14,1,1,,,,12
B110409-4,2,1,,,,12
B110410-1,1,1,,,,12
B110411-4,4,1,income,,False,12
B110413-2,1,1,,,,12
B110413-20,1,1,,,,12
B110413-8,3,3,,,,12
B110414-13,1,1,,,,12
B110417-1,1,1,,,,12
B110418-14,2,1,,,,12
B110418-7,3,1,,,,12
B110420-17,5,1,income,5.0,True,12
B110422-19,3,3,,,,12
B110424-4,1,1,,,,12
B110425-14,4,1,income,,False,12
B110425-5,1,1,,,,12
B110426-10,1,1,,,,12
B110426-17,2,1,,,,12
B110427-17,1,1,,,,12
B110427-27,2,2,,,,12
B110427-33,1,1,,,,13
B110429-12,2,1,,,,13
B110429-16,1,1,,,,13
B110502-12,4,1,income,,False,13
B110502-20,1,1,,,,13
B110502-5,2,1,,,,13
B110502-8,1,1,,,,13
B110504-9,3,2,,,,13
B110506-21,2,1,,,,13
B110507-1,1,3,,,,13
B110511-12,4,1,event,,False,13
B110511-16,1,1,,,,13
B110512-8,1,1,,,,13
B110513-11,1,1,,,,13
B110513-13,2,1,,,,13
B110513-5,2,1,,,,13
B110513-8,1,1,,,,13
B110518-1,1,1,,,,13
B110519-28,4,3,income,15.0,False,13
B110522-5,4,2,income,15.0,False,13
B110523-11,1,1,,,,13
B110523-5,1,1,,,,13
B110524-19,4,1,income,17.0,False,13
B110524-5,3,1,,,,13
B110524-7,1,1,,,,13
B110526-1,1,1,,,,13
B110527-22,1,1,,,,13
B110527-6,1,1,,,,13
B110531-10,1,3,,,,13
B110531-15,3,1,,,,13
B110602-17,1,1,,,,13
B110605-5,4,1,calendar,15.0,False,13
B110608-4,1,1,,,,13
B110608-7,1,1,,,,13
B110610-5,1,1,,,,13
B110610-7,1,1,,,,13
B110611-4,1,2,,,,13
B110612-1,1,1,,,,13
B110613-2,3,2,,,,13
B110614-2,2,1,,,,13
B110614-4,1,1,,,,13
B110615-17,1,1,,,,13
B110617-3,1,1,,,,13
B110620-2,1,1,,,,13
B110620-4,4,2,income,,False,13
B110621-14,1,2,,,,13
B110622-18,1,1,,,,13
B110622-7,2,1,,,,13
B110623-2,1,1,,,,13
B110625-3,1,1,,,,13
B110628-1,1,2,,,,13
B110628-15,3,1,,,,13
B110629-2,2,1,,,,13
B110630-2,1,1,,,,13
B110706-17,1,1,,,,13
B110706-18,1,1,,,,13
B110706-5,4,2,income,,False,13
B110707-3,1,1,,,,13
B110708-9,1,1,,,,13
B110709-2,4,1,income,5.0,False,13
B110709-5,1,1,,,,13
B110711-4,1,1,,,,13
B110713-20,1,2,,,,13
