loan_id,P1,P2,P3,P4,P4b,P5,amt,amt_stated,freq,n_src,ev,batch,n_inst,n_obs,on_time_rate,early_rate,late_rate,mean_delay,exposure,max_delay,first_delinq_k,first_delinq_frac,return_to_current_k,re_delinq_k,ever_delinq,n_unpaid,year,status,outcome,plan_len,purpose_len,amount,duration,rate,gender,age,job,income,expend,disposable,past_ordinary,past_early,past_late,past_overdue,past_loss,in_sample,inc17,exp17,disp17,capacity,amt_won,dur_m,req_pay,req_avg,pcg_abs,pcg_ratio,pcg_over,pcg_abs_avg,suffix,lnlen,bgroup,anchor,auto,day,multi,P3b,inc_anchor,cal_anchor,evt_anchor,auto_f,lnamt,past_ordinary_f,past_late_f,past_overdue_f,past_loss_f,past_m,male,P3v3,P4v3,anchor_v3,day_v3,multi_v3,batch_v3,v2b,v3b,income_doc,pay_sched_rx,S2,S3,salday
B090222-1,4,4,1,1,0,4,200000.0,1,월,1,세후 185만 현재급여,1,12,12,0.0,0.0,1.0,23.167,278,31,1.0,0.083,,,1,0,2009,정상종료,완납,101,440,100만원,12개월,0.3,여자,세,기타,,,,17.0,9.0,28.0,7.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,4.61512051684126,A080718-3,,,,,0,0,0,0,0,13.815510557964274,17.0,28.0,7.0,0.0,0,0,1,1,,,,1,0,0,0,0,0.0,0.0,
B090302-1,2,4,1,1,0,4,,0,,2,남편급여245만+월세수입,1,11,11,0.8182,0.4545,0.1818,0.182,2,1,3.0,0.273,4.0,5.0,1,0,2009,정상종료,완납,3721,3061,200만원,12개월,0.3,여자,세,기타,,,,17.0,11.0,9.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,,1,8.221747728346623,B100206-4,,,,,0,0,0,0,0,14.50865773852422,17.0,9.0,0.0,0.0,0,0,1,1,,,,1,0,0,0,0,2.0901194353963084,1.3572204125950054,
B090311-1,4,4,4,2,1,4,300000.0,1,월,1,"구청지급 급여, 3년재직",1,8,8,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,411,288,100만원,12개월,0.3,,세,기타,,,,,,,,,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,6.018593214496234,B090311-1,income,False,5.0,False,0,1,0,0,0,13.815510557964274,0.0,0.0,0.0,0.0,1,0,1,2,,,,1,1,0,1,1,0.48661800486618,4.866180048661801,5.0
B090331-1,2,5,5,5,1,4,,0,,3,본인급여+배우자 육아비,1,9,9,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,1054,2115,200만원,12개월,0.3,,세,기타,,,,,,,,,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,,1,6.960347729101308,B090331-1,income,False,25.0,False,0,1,0,0,0,14.50865773852422,0.0,0.0,0.0,0.0,1,0,1,5,,,,1,1,0,1,1,0.0,0.9523809523809524,
B090404-1,3,4,1,1,0,5,,0,월,1,3월 순수입180만 실적,1,12,12,0.9167,0.5833,0.0833,0.167,2,2,10.0,0.833,11.0,,1,0,2009,정상종료,완납,307,739,100만원,12개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,5.726847747587197,B090404-1,,,,,0,0,0,0,0,13.815510557964274,0.0,0.0,0.0,0.0,1,1,1,1,,,,1,0,0,0,0,0.0,3.3003300330033003,
B090412-1,4,5,3,5,1,4,,0,월,3,공탁금 1200만원 실재,1,9,9,0.7778,0.7778,0.2222,3.333,30,29,3.0,0.333,4.0,9.0,1,0,2009,정상종료,완납,843,1477,200만원,9개월,0.3,남자,세,기타,,,,16.0,11.0,15.0,1.0,0.0,1,,,,,2000000.0,9.0,272222.22222222225,250000.0,,,,,1,6.736966958001855,B110403-4,,,,,0,0,0,0,0,14.50865773852422,16.0,15.0,1.0,0.0,0,1,1,5,,,,1,0,0,0,0,0.0,0.0,
B090417-1,2,4,5,5,1,4,,0,,1,"구직급여 일28,800원 수령",1,12,12,0.6667,0.4167,0.3333,3.167,38,24,8.0,0.667,9.0,10.0,1,0,2009,정상종료,완납,291,562,100만원,12개월,0.3,남자,세,기타,,,,21.0,12.0,6.0,0.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,5.673323267171493,A080602-2,income,False,,False,0,1,0,0,0,13.815510557964274,21.0,6.0,0.0,0.0,0,1,1,5,,,,1,1,0,1,0,0.3436426116838488,0.0,
B090424-1,2,5,3,3,1,4,,0,,2,최근3개월 평균330만,1,6,6,1.0,0.8333,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,357,588,100만원,6개월,0.3,남자,세,기타,,,,19.0,10.0,1.0,0.0,0.0,1,,,,,1000000.0,6.0,191666.66666666663,181250.0,,,,,1,5.877735781779639,B090424-1,,,,,0,0,0,0,0,13.815510557964274,19.0,1.0,0.0,0.0,0,1,2,2,,,,1,0,0,0,0,0.0,0.0,
B090702-1,5,4,1,1,0,4,130000.0,1,월,1,월급150만 잔액13만,1,9,9,0.2222,0.1111,0.7778,1.111,10,3,1.0,0.111,4.0,5.0,1,0,2009,정상종료,완납,224,1228,100만원,9개월,0.3,남자,세,기타,,,,89.0,36.0,28.0,0.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,,1,5.41164605185504,B100410-9,,,,,0,0,0,0,0,13.815510557964274,89.0,28.0,0.0,0.0,0,1,1,1,,,,1,0,0,0,0,0.0,0.0,
B090703-1,5,4,3,2,1,4,300000.0,1,월,1,남편 현재급여 300만,1,5,5,0.0,0.0,1.0,21.4,107,61,1.0,0.2,,,1,0,2009,연체중,손실,261,1093,100만원,6개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1000000.0,6.0,191666.66666666663,181250.0,,,,,1,5.564520407322694,B090703-1,,,,,0,0,0,0,0,13.815510557964274,0.0,0.0,0.0,0.0,1,0,1,2,,,,1,0,0,0,0,0.7662835249042145,0.0,
B090723-1,5,4,5,1,0,4,220000.0,1,월,2,세후360만+과거2회 이력,1,11,11,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,347,601,200만원,12개월,0.3,남자,세,기타,,,,37.0,31.0,0.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,,1,5.849324779946859,A071107-1,income,True,25.0,False,1,1,0,0,1,14.50865773852422,37.0,0.0,0.0,0.0,0,1,4,1,income,25.0,False,1,1,1,0,1,0.0,0.0,25.0
B090828-1,3,4,1,1,0,4,,0,월,1,월급여110만 잔액상환,1,9,9,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,140,2377,100만원,9개월,0.3,여자,세,기타,,,,32.0,32.0,0.0,0.0,0.0,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,,1,4.941642422609304,B100428-6,,,,,0,0,0,0,0,13.815510557964274,32.0,0.0,0.0,0.0,0,0,1,1,,,,1,0,0,0,0,0.0,0.0,
B090901-1,5,4,5,1,0,4,300000.0,1,월,2,실수령220만+내년4월퇴직금,1,5,5,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,245,1097,200만원,12개월,0.3,남자,세,기타,,,,37.0,36.0,0.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,,1,5.501258210544727,B100217-14,event,False,,True,1,0,0,1,0,14.50865773852422,37.0,0.0,0.0,0.0,0,1,4,1,event,,False,1,1,1,0,0,0.0,0.0,
B090916-1,5,4,2,3,1,4,250000.0,1,월,2,현재 순수익200만 실적,1,12,12,0.9167,0.8333,0.0833,0.25,3,3,1.0,0.083,2.0,,1,0,2009,정상종료,완납,775,867,200만원,12개월,0.3,,세,기타,,,,,,,,,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,,1,6.652863029353347,B090916-1,,,,,0,0,0,0,0,14.50865773852422,0.0,0.0,0.0,0.0,1,0,2,1,,,,1,0,0,0,0,0.0,0.0,
B091005-1,1,5,3,1,0,4,,0,,3,급여260만+적금 만기임박,1,9,9,0.7778,0.6667,0.2222,0.333,3,2,4.0,0.444,5.0,9.0,1,0,2009,정상종료,완납,255,429,200만원,9개월,0.3,여자,세,기타,,,,20.0,16.0,16.0,0.0,0.0,1,,,,,2000000.0,9.0,272222.22222222225,250000.0,,,,,1,5.541263545158426,B101201-19,,,,,0,0,0,0,0,14.50865773852422,20.0,16.0,0.0,0.0,0,0,1,1,,,,1,0,0,0,0,0.0,0.0,
B091024-1,4,4,3,1,0,4,10000.0,1,,1,가게 단골30곳 운영중,1,6,6,0.8333,0.1667,0.1667,0.167,1,1,5.0,0.833,6.0,,1,0,2009,정상종료,완납,482,1106,100만원,6개월,0.29,여자,세,기타,,,,,,,,,1,,,,,1000000.0,6.0,190833.3333333333,180763.88888888888,,,,,1,6.1779441140506,B091024-1,,,,,0,0,0,0,0,13.815510557964274,0.0,0.0,0.0,0.0,1,0,1,1,,,,1,0,0,0,0,1.4553014553014554,0.0,
B091026-1,2,4,1,1,0,4,,0,,2,월사업소득200~250만,1,7,7,0.8571,0.8571,0.1429,3.0,21,21,5.0,0.714,6.0,,1,0,2009,정상종료,완납,248,774,200만원,12개월,0.3,남자,세,기타,,,,13.0,12.0,6.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,,1,5.513428746164983,B090416-2,,,,,0,0,0,0,0,14.50865773852422,13.0,6.0,0.0,0.0,0,1,3,1,,,,1,0,0,0,0,0.0,0.0,
B091104-1,4,5,5,1,0,5,200000.0,1,월,2,급여98만+장려금20만 수령,1,13,13,1.0,0.9231,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,189,1366,300만원,21개월,0.3,,세,기타,,,,,,,,,1,,,,,3000000.0,21.0,217857.14285714287,182142.8571428572,,,,,1,5.241747015059643,B091104-1,income,False,5.0,True,0,1,0,0,0,14.914122846632385,0.0,0.0,0.0,0.0,1,0,3,1,,,,1,1,0,1,1,0.0,0.0,5.0
B091113-1,5,5,1,2,1,4,160000.0,1,월,2,남편110만+본인알바20만,1,8,8,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,407,577,150만원,12개월,0.3,여자,세,기타,,,,58.0,40.0,6.0,0.0,0.0,1,,,,,1500000.0,12.0,162500.0,145312.5,,,,,1,6.008813185442595,A070601-5,,,,,0,0,0,0,0,14.22097566607244,58.0,6.0,0.0,0.0,0,0,1,1,,,,1,0,0,0,0,0.0,0.0,
B091116-1,2,4,2,1,0,5,,0,,1,5년6개월 재직 실수령220,1,8,8,1.0,0.25,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,311,1038,200만원,12개월,0.3,남자,세,기타,,,,20.0,6.0,0.0,0.0,0.0,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,,1,5.739792912179234,A070705-5,,,,,0,0,0,0,0,14.50865773852422,20.0,0.0,0.0,0.0,0,1,1,1,,,,1,0,0,0,0,0.0,0.0,
B091214-1,3,4,5,1,0,4,,0,월,1,고시텔 총무 급여100만,1,1,1,0.0,0.0,1.0,61.0,61,61,1.0,1.0,,,1,0,2009,연체중,손실,314,942,50만원,3개월,0.3,남자,세,기타,,,,,,,,,1,,,,,500000.0,3.0,179166.66666666666,175000.0,,,,,1,5.749392985908253,B091214-1,income,False,,False,1,1,0,0,0,13.122363377404328,0.0,0.0,0.0,0.0,1,1,4,1,income,,False,1,1,1,0,0,0.0,6.430868167202572,
B091219-1,2,5,1,3,1,4,,0,월,2,부업 월10만 실수령중,1,6,6,0.3333,0.1667,0.6667,12.833,77,61,2.0,0.333,3.0,4.0,1,0,2009,연체중,손실,476,848,150만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1500000.0,12.0,162500.0,145312.5,,,,,1,6.16541785423142,B091219-1,,,,,0,0,0,0,0,14.22097566607244,0.0,0.0,0.0,0.0,1,0,1,1,,,,1,0,0,0,0,0.0,0.0,
B091223-1,5,5,4,3,1,4,350000.0,1,월,3,3원천 수입+지출관리 습관,1,5,5,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,703,1967,400만원,24개월,0.3,남자,세,기타,,,,75.0,56.0,27.0,4.0,0.0,1,,,,,4000000.0,24.0,266666.6666666666,218750.0,,,,,1,6.555356891810665,A070817-4,calendar,False,12.0,False,1,0,1,0,0,15.201804919084164,75.0,27.0,4.0,0.0,0,1,4,1,calendar,12.0,False,1,1,1,0,0,0.0,0.0,
B091226-1,4,5,3,3,1,5,200000.0,1,월,2,본업135만+부업55만 현재,1,9,9,1.0,0.8889,0.0,0.0,0,0,,,,,0,0,2009,정상종료,완납,557,2169,150만원,9개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1500000.0,9.0,204166.66666666663,187500.0,,,,,1,6.322565239927284,B091226-1,,,,,0,0,0,0,0,14.22097566607244,0.0,0.0,0.0,0.0,1,0,1,2,,,,1,0,0,0,0,0.0,1.8050541516245489,
B100129-1,2,5,3,4,1,4,,0,,2,급여160만+새벽세차55만,1,7,7,0.4286,0.1429,0.5714,12.714,89,49,3.0,0.429,4.0,5.0,1,0,2010,정상종료,완납,510,537,100만원,9개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,,1,6.234410725718371,B100129-1,,,,,0,0,0,0,0,13.815510557964274,0.0,0.0,0.0,0.0,1,1,1,4,,,,1,0,0,0,0,0.0,1.96078431372549,
B100303-1,3,4,5,1,0,3,,0,월,1,입사후 첫급여 3/30 예정,1,8,8,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,276,415,100만원,12개월,0.3,여자,세,기타,,,,,,,,,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,5.62040086571715,B100303-1,income,False,30.0,False,0,1,0,0,0,13.815510557964274,0.0,0.0,0.0,0.0,1,0,1,1,,,,1,1,0,1,1,0.3623188405797101,0.0,
B100304-1,2,5,3,1,0,5,,0,,3,본인229만+배우자50만,1,7,7,0.7143,0.7143,0.2857,2.429,17,11,5.0,0.714,6.0,7.0,1,0,2010,정상종료,완납,619,941,300만원,15개월,0.3,남자,세,기타,,,,7.0,7.0,3.0,0.0,0.0,1,,,,,3000000.0,15.0,275000.0,240000.0,,,,,1,6.428105272684596,B110209-15,,,,,0,0,0,0,0,14.914122846632385,7.0,3.0,0.0,0.0,0,1,2,1,,,,1,0,0,0,0,0.0,1.6420361247947457,
B100306-1,5,4,1,1,0,4,160000.0,1,월,2,12월 취업 세후130만,1,6,6,0.5,0.5,0.5,5.333,32,21,2.0,0.333,3.0,4.0,1,0,2010,정상종료,완납,357,793,50만원,6개월,0.3,,세,기타,,,,,,,,,1,,,,,500000.0,6.0,95833.33333333331,90625.0,,,,,1,5.877735781779639,B100306-1,,,,,0,0,0,0,0,13.122363377404328,0.0,0.0,0.0,0.0,1,0,1,1,,,,1,0,0,0,0,0.0,0.0,
B100311-1,5,4,5,5,1,4,200000.0,1,월,2,"1월부터 재직, 3년 무지연",1,6,6,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,1085,2979,100만원,6개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1000000.0,6.0,191666.66666666663,181250.0,,,,,1,6.98933526597456,B100311-1,income,False,,False,0,1,0,0,0,13.815510557964274,0.0,0.0,0.0,0.0,1,1,3,4,,,,1,1,0,1,0,0.8712487899322363,2.904162633107454,
B100322-1,5,4,3,1,0,4,150000.0,1,월,1,신규 연구소 월급150만,1,9,9,1.0,0.8889,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,694,4931,100만원,9개월,0.3,남자,세,기타,,,,,,,,,1,,,,,1000000.0,9.0,136111.11111111112,125000.0,,,,,1,6.542471960506805,B100322-1,,,,,0,0,0,0,0,13.815510557964274,0.0,0.0,0.0,0.0,1,1,1,1,,,,1,0,0,0,0,0.0,0.0,
B100401-1,2,4,4,1,0,4,,0,,2,취업후 홀180/짝360 수령,1,9,9,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,1377,540,300만원,15개월,0.3,남자,세,기타,,,,,,,,,1,,,,,3000000.0,15.0,275000.0,240000.0,,,,,1,7.227662498728654,B100401-1,income,False,,False,0,1,0,0,0,14.914122846632385,0.0,0.0,0.0,0.0,1,1,1,1,,,,1,1,0,1,0,0.0,0.0,
B100406-1,3,1,3,2,1,2,,0,월,0,근거 제시 없음,1,15,15,0.9333,0.2667,0.0667,0.067,1,1,13.0,0.867,14.0,,1,0,2010,정상종료,완납,109,1089,300만원,15개월,0.3,남자,세,기타,,,,22.0,9.0,5.0,0.0,0.0,1,,,,,3000000.0,15.0,275000.0,240000.0,,,,,1,4.691347882229144,B100406-1,,,,,0,0,0,0,0,14.914122846632385,22.0,5.0,0.0,0.0,0,1,2,2,,,,1,0,0,0,0,0.0,9.174311926605505,
B100428-1,5,4,3,1,0,5,100000.0,1,월,1,현재 월급여140만,1,12,12,0.9167,0.0,0.0833,0.083,1,1,5.0,0.417,6.0,,1,0,2010,정상종료,완납,124,673,100만원,12개월,0.3,남자,세,기타,,,,27.0,10.0,1.0,0.0,0.0,1,,,,,1000000.0,12.0,108333.33333333331,96875.0,,,,,1,4.820281565605037,B110721-2,,,,,0,0,0,0,0,13.815510557964274,27.0,1.0,0.0,0.0,0,1,1,1,,,,1,0,0,0,0,0.0,0.0,
B100501-1,1,4,5,1,0,4,,0,,1,가게 순수익155만 현재,1,24,24,1.0,0.7917,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,862,1957,300만원,24개월,0.3,여자,세,기타,,,,,,,,,1,,,,,3000000.0,24.0,200000.0,164062.5,,,,,1,6.759255270663693,B100501-1,none,False,,False,0,0,0,0,0,14.914122846632385,0.0,0.0,0.0,0.0,1,0,1,1,,,,1,1,0,1,0,0.2328288707799767,0.0,
B100502-1,5,4,3,1,0,4,320000.0,1,월,1,3년 근속 월급160만,1,12,12,0.8333,0.5833,0.1667,0.25,3,2,11.0,0.917,,,1,0,2010,정상종료,완납,128,1361,150만원,12개월,0.3,남자,세,기타,,,,17.0,9.0,5.0,0.0,0.0,1,,,,,1500000.0,12.0,162500.0,145312.5,,,,,1,4.852030263919617,B100102-2,,,,,0,0,0,0,0,14.22097566607244,17.0,5.0,0.0,0.0,0,1,1,1,,,,1,0,0,0,0,0.0,0.0,
B100508-1,1,5,1,1,0,5,,0,,3,본인200+부인85+장려금,1,12,12,0.25,0.0833,0.75,0.833,10,2,1.0,0.083,2.0,3.0,1,0,2010,정상종료,완납,212,1115,200만원,12개월,0.3,남자,세,기타,,,,,,,,,1,,,,,2000000.0,12.0,216666.66666666663,193750.0,,,,,1,5.356586274672012,B100508-1,,,,,0,0,0,0,0,14.50865773852422,0.0,0.0,0.0,0.0,1,1,1,1,,,,1,0,0,0,0,0.0,0.0,
B100608-1,3,5,1,1,0,5,,0,월,2,본인200+남편220 현재,1,21,21,0.4286,0.1905,0.5714,1.571,33,6,4.0,0.19,5.0,10.0,1,0,2010,정상종료,완납,833,1970,300만원,21개월,0.3,여자,세,기타,,,,,,,,,1,,,,,3000000.0,21.0,217857.14285714287,182142.8571428572,,,,,1,6.725033642166843,B100608-1,,,,,0,0,0,0,0,14.914122846632385,0.0,0.0,0.0,0.0,1,0,1,1,,,,1,0,0,0,0,0.1207729468599033,1.207729468599034,
B100707-1,2,5,4,3,1,3,,0,월,2,8/25부터 소득 예상,1,12,12,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,292,199,400만원,18개월,0.3,남자,세,기타,,,,24.0,22.0,0.0,0.0,0.0,1,,,,,4000000.0,18.0,322222.22222222225,275000.0,,,,,1,5.676753802268282,B090416-3,income,False,25.0,False,0,1,0,0,0,15.201804919084164,24.0,0.0,0.0,0.0,0,1,1,1,,,,1,1,0,1,0,0.0,0.0,
B100713-1,2,5,4,1,0,4,,0,,2,남편200+행사30 예약확정,1,12,12,1.0,1.0,0.0,0.0,0,0,,,,,0,0,2010,정상종료,완납,509,644,150만원,12개월,0.3,여자,세,기타,,,,35.0,25.0,10.0,4.0,0.0,1,,,,,1500000.0,12.0,162500.0,145312.5,,,,,1,6.2324480165505225,A080409-1,event,False,,False,0,0,0,1,0,14.22097566607244,35.0,10.0,4.0,0.0,0,0,3,1,,,,1,1,0,1,0,1.2371134020618555,0.0,
B100716-1,3,5,5,1,0,4,,0,월,1,스튜디오 실적 304만,1,18,18,0.1667,0.0556,0.8333,22.944,413,30,3.0,0.167,4.0,5.0,1,0,2010,정상종료,완납,679,1370,400만원,18개월,0.3,남자,세,기타,,,,6.0,1.0,8.0,7.0,0.0,1,,,,,4000000.0,18.0,322222.22222222225,275000.0,,,,,1,6.520621127558696,B100222-6,none,False,,False,0,0,0,0,0,15.201804919084164,6.0,8.0,7.0,0.0,0,1,3,1,,,,1,1,0,1,0,1.8209408194233687,1.5174506828528074,
B100721-1,1,5,1,1,0,4,,0,,2,본인134+동생130+부100,1,15,15,0.4,0.2667,0.6,4.667,70,28,4.0,0.267,5.0,6.0,1,0,2010,정상종료,완납,249,1486,300만원,15개월,0.3,여자,세,기타,,,,,,,,,1,,,,,3000000.0,15.0,275000.0,240000.0,,,,,1,5.517452896464707,B100721-1,,,,,0,0,0,0,0,14.914122846632385,0.0,0.0,0.0,0.0,1,0,1,1,,,,1,0,0,0,0,0.4347826086956521,0.0,
